日期,商品名,门店所在城市,门店名称,门店id,商品销量,销量占比,商品销售额,销售额占比,商品好评数,商品差评数,订单交易额,带来订单量,下单人数
20221212,焦糖玛奇朵,东莞,沙拉食刻（松山湖1分店）,14764991,2,0.0247,36.0,0.0171,0,0,84.0,1,1
20221212,黑椒鸡腿扒荞麦面+果蔬沙拉,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,18.7,0.0089,0,0,18.7,1,1
20221212,奥尔良鸡胸肉谷物饭+果蔬沙拉,东莞,沙拉食刻（松山湖1分店）,14764991,7,0.0864,124.2,0.059,0,0,124.2,7,7
20221212,蜜汁鸡胸肉荞麦面+果蔬沙拉,东莞,沙拉食刻（松山湖1分店）,14764991,6,0.0741,105.3,0.05,0,0,105.3,6,6
20221212,奥尔良鸡胸肉荞麦面+果蔬沙拉,东莞,沙拉食刻（松山湖1分店）,14764991,7,0.0864,123.0,0.0584,0,0,123.0,7,7
20221212,牛肉拼鸡胸谷物饭沙拉套餐,东莞,沙拉食刻（松山湖1分店）,14764991,2,0.0247,78.0,0.0371,0,0,122.2,2,2
20221212,蜜汁鸡胸肉荞麦面沙拉套餐,东莞,沙拉食刻（松山湖1分店）,14764991,3,0.037,102.0,0.0485,0,0,119.7,3,3
20221212,黑椒鸡腿扒荞麦面果蔬沙拉套餐,东莞,沙拉食刻（松山湖1分店）,14764991,3,0.037,105.0,0.0499,0,0,112.8,3,3
20221212,牛肉拼鸡胸荞麦面沙拉套餐,东莞,沙拉食刻（松山湖1分店）,14764991,2,0.0247,78.0,0.0371,0,0,86.19,2,2
20221212,奥尔良鸡胸肉荞麦面沙拉套餐,东莞,沙拉食刻（松山湖1分店）,14764991,4,0.0494,136.0,0.0646,0,0,150.69,4,4
20221212,金枪鱼藜麦谷物饭沙拉套餐,东莞,沙拉食刻（松山湖1分店）,14764991,2,0.0247,78.0,0.0371,0,0,122.2,2,2
20221212,香菇藤椒鸡胸肉南瓜面沙拉套餐,东莞,沙拉食刻（松山湖1分店）,14764991,5,0.0617,170.0,0.0808,0,0,183.9,5,5
20221212,奥尔良鸡胸肉谷物饭沙拉套餐,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,34.0,0.0162,0,0,37.0,1,1
20221212,蜜汁鸡腿扒荞麦面果蔬沙拉套餐,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,35.0,0.0166,0,0,39.0,1,1
20221212,百里香牛肉粒意面套餐,东莞,沙拉食刻（松山湖1分店）,14764991,3,0.037,123.0,0.0584,0,0,130.2,3,3
20221212,番茄苹果汁,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,16.0,0.0076,0,0,43.6,1,1
20221212,柠檬青瓜汁,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,9.9,0.0047,0,0,46.5,1,1
20221212,蜜汁鸡腿扒荞麦面沙拉套餐,东莞,沙拉食刻（松山湖1分店）,14764991,3,0.037,56.400000000000006,0.0268,0,0,56.4,3,3
20221212,黑椒鸡腿扒谷物饭沙拉套餐,东莞,沙拉食刻（松山湖1分店）,14764991,2,0.0247,70.0,0.0333,0,0,101.4,2,2
20221212,黑椒牛肉烤意面,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,17.0,0.0081,0,0,39.4,1,1
20221212,每日果蔬代餐粉,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,15.0,0.0071,0,0,41.6,1,1
20221212,奥尔良鸡胸肉荞麦面+紫薯球果蔬沙拉,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,34.0,0.0162,0,0,36.6,1,1
20221212,藤椒鸡胸肉南瓜面+紫薯球果蔬沙拉,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,34.0,0.0162,0,0,36.6,1,1
20221212,蜜汁鸡腿扒荞麦面+紫薯球果蔬沙拉,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,35.0,0.0166,0,0,38.2,1,1
20221212,黑椒鸡腿扒荞麦面+紫薯球果蔬沙拉,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,35.0,0.0166,0,0,38.4,1,1
20221212,黑椒鸡腿扒谷物饭+紫薯球果蔬沙拉,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,35.0,0.0166,0,0,37.6,1,1
20221212,奶香紫薯球,东莞,沙拉食刻（松山湖1分店）,14764991,2,0.0247,5.98,0.0028,0,0,84.28,2,2
20221212,柠檬鲈鱼螺旋意面套餐,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,39.0,0.0185,0,0,41.6,1,1
20221212,缤纷鲜果荟,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,18.0,0.0086,0,0,39.4,1,1
20221212,咖喱鸡扒饭,东莞,沙拉食刻（松山湖1分店）,14764991,6,0.0741,144.0,0.0684,0,0,230.1,6,6
20221212,热辣藤椒鸡胸肉面沙拉派,东莞,沙拉食刻（松山湖1分店）,14764991,2,0.0247,48.0,0.0228,0,0,54.6,2,2
20221212,热辣藤椒鸡胸肉面沙拉派,东莞,沙拉食刻（松山湖1分店）,14764991,2,0.0247,48.0,0.0228,0,0,53.2,2,2
20221212,热辣藤椒鸡胸肉面沙拉派,东莞,沙拉食刻（松山湖1分店）,14764991,1,0.0123,24.0,0.0114,0,0,26.6,1,1
