日期,订单编号,门店所在城市,门店名称,门店id,订单序号,下单时间,完成时间,配送时长,订单状态,是否预订单,是否到店自取,商品信息,活动信息,配送类型,是否部分退款,是否全额退款,顾客实付,商品原价,配送费,包装费,活动补贴(平台+商家),商家活动支出,是否商责取消,商责取消原因,是否配送延迟,是否有效配送信息回传,配送信息回传无效原因
20221212,ID:900324671132081730,东莞,沙拉食刻（松山湖1分店）,14764991,27,2022-12-12 11:19:27,2022-12-12 12:02:12,15,已完成,否,否,"奥尔良鸡胸肉荞麦面沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价21.8*数量1",购买奥尔良鸡胸肉荞麦面沙拉套餐原价34.0元现价21.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,21.8,34.0,2.6,0.0,14.8,14.8,否,,否,,
20221212,ID:900324693706492520,东莞,沙拉食刻（松山湖1分店）,14764991,37,2022-12-12 11:31:41,2022-12-12 12:09:00,27,已完成,否,否,"黑椒鸡腿扒谷物饭沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价22.8*数量1",减配送费2.6元[商家承担:2.6元]/购买黑椒鸡腿扒谷物饭沙拉套餐原价35.0元现价22.8元[商家承担:12.2元],美团快送,否,否,24.2,35.0,4.0,0.0,14.8,14.8,否,,否,,
20221212,ID:900324732627283767,东莞,沙拉食刻（松山湖1分店）,14764991,52,2022-12-12 12:11:54,2022-12-12 12:28:32,9,已完成,否,否,"奥尔良鸡胸肉谷物饭沙拉套餐(545克,香辣汁,焙煎芝麻汁),单价21.8*数量1",购买奥尔良鸡胸肉谷物饭沙拉套餐原价34.0元现价21.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,22.2,34.0,3.0,0.0,14.8,14.8,否,,否,,
20221212,ID:900324670663338191,东莞,沙拉食刻（松山湖1分店）,14764991,257,2022-12-12 11:17:57,2022-12-12 11:35:18,4,已完成,否,否,"奥尔良鸡胸肉谷物饭+果蔬沙拉(焙煎芝麻汁,黑胡椒汁),单价18.9*数量1",,美团快送,否,否,18.9,18.9,0.0,0.0,0.0,0.0,否,,否,,
20221212,ID:900324674098158763,东莞,沙拉食刻（松山湖1分店）,14764991,25,2022-12-12 11:17:59,2022-12-12 11:53:25,9,已完成,否,否,"藤椒鸡胸肉南瓜面+紫薯球果蔬沙拉(545克,黑椒汁,焙煎芝麻汁),单价21.8*数量1",减配送费2.6元[商家承担:2.6元]/用户使用了会员红包减5元[新美大承担:5.0元]/门店新客立减3.0元[商家承担:3.0元]/购买藤椒鸡胸肉南瓜面+紫薯球果蔬沙拉原价34.0元现价21.8元[商家承担:12.2元],美团快送,否,否,13.8,34.0,2.6,0.0,22.8,17.8,否,,否,,
20221212,ID:900324720872730844,东莞,沙拉食刻（松山湖1分店）,14764991,51,2022-12-12 12:02:32,2022-12-12 12:43:45,33,已完成,否,否,"热辣藤椒鸡胸肉面沙拉派(1人份,油醋沙拉汁),单价18.8*数量1",减配送费2.6元[商家承担:2.6元]/购买热辣藤椒鸡胸肉面沙拉派原价24.0元现价18.8元[商家承担:5.2元],美团快送,否,否,18.8,24.0,2.6,0.0,7.8,7.8,否,,否,,
20221212,ID:900324622283211059,东莞,沙拉食刻（松山湖1分店）,14764991,3,2022-12-12 10:20:42,2022-12-12 10:35:55,5,已完成,否,否,"香菇藤椒鸡胸肉南瓜面沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价21.8*数量1",减配送费2.6元[商家承担:2.6元]/购买香菇藤椒鸡胸肉南瓜面沙拉套餐原价34.0元现价21.8元[商家承担:12.2元],美团快送,否,否,21.8,34.0,2.6,0.0,14.8,14.8,否,,否,,
20221212,ID:900324643383575701,东莞,沙拉食刻（松山湖1分店）,14764991,46,2022-12-12 10:44:24,2022-12-12 11:01:05,5,已完成,否,否,"奥尔良鸡胸肉谷物饭+果蔬沙拉(焙煎芝麻汁,黑胡椒汁),单价16.9*数量1",购买奥尔良鸡胸肉谷物饭+果蔬沙拉原价17.7元现价16.9元[新美大承担:0.8元],美团快送,否,否,16.9,17.7,0.0,0.0,0.8,0.0,否,,否,,
20221212,ID:900324653489483668,东莞,沙拉食刻（松山湖1分店）,14764991,90,2022-12-12 10:58:12,2022-12-12 11:47:39,34,已完成,否,否,"奥尔良鸡胸肉荞麦面+果蔬沙拉(油醋汁,香辣汁),单价16.8*数量1",购买奥尔良鸡胸肉荞麦面+果蔬沙拉原价17.7元现价16.8元[新美大承担:0.9元],美团快送,否,否,16.8,17.7,0.0,0.0,0.9,0.0,否,,否,,
20221212,ID:900324674001320381,东莞,沙拉食刻（松山湖1分店）,14764991,22,2022-12-12 11:10:25,2022-12-12 12:03:35,44,已完成,否,否,"奥尔良鸡胸肉荞麦面+果蔬沙拉(油醋汁,黑胡椒汁),单价16.8*数量1",购买奥尔良鸡胸肉荞麦面+果蔬沙拉原价17.7元现价16.8元[新美大承担:0.9元],美团快送,否,否,16.8,17.7,0.0,0.0,0.9,0.0,否,,是,,
